대상연월,요일,도착시간,출발 시군구 코드,도착 시군구 코드,성별,나이,이동유형,평균 이동 시간(분),이동인구(합)
202003,일,03,11010,11010,F,10,EH,30,5.88
202003,일,03,11010,11010,F,15,EE,10,26.39
202003,일,03,11010,11010,F,15,HE,10,4.11
202003,일,03,11010,11010,F,15,EH,20,3.99
202003,일,03,11010,11010,F,15,WW,10,4.08
202003,일,03,11010,11010,F,15,WH,10,4.03
202003,일,03,11010,11010,F,15,HH,20,7.99
202003,일,03,11010,11010,F,20,WW,10,4.34
202003,일,03,11010,11010,F,20,WH,20,29.36
202003,일,03,11010,11010,F,20,EH,20,88.28
202003,일,03,11010,11010,F,20,WE,10,4.37
202003,일,03,11010,11010,F,20,EE,20,64.53
202003,일,03,11010,11010,F,20,HH,10,27.7
202003,일,03,11010,11010,F,20,HE,20,8.72
202003,일,03,11010,11010,F,25,WH,20,32.46
202003,일,03,11010,11010,F,25,EH,20,36.61
202003,일,03,11010,11010,F,25,HW,20,4.09
202003,일,03,11010,11010,F,25,WE,40,*
202003,일,03,11010,11010,F,25,EE,20,59.21
202003,일,03,11010,11010,F,25,WW,20,*
202003,일,03,11010,11010,F,25,HH,30,6.1
202003,일,03,11010,11010,F,25,EW,40,*
202003,일,03,11010,11010,F,30,EH,60,4.79
202003,일,03,11010,11010,F,30,HW,50,*
202003,일,03,11010,11010,F,30,HE,10,*
202003,일,03,11010,11010,F,30,EW,10,4.8
202003,일,03,11010,11010,F,30,EE,10,34.83
202003,일,03,11010,11010,F,30,WH,20,4.73
202003,일,03,11010,11010,F,30,WW,20,*
202003,일,03,11010,11010,F,30,HH,20,4.71
202003,일,03,11010,11010,F,35,EE,10,15.07
202003,일,03,11010,11010,F,35,HE,20,6.09
202003,일,03,11010,11010,F,35,EH,30,5.98
202003,일,03,11010,11010,F,35,WH,50,15.16
202003,일,03,11010,11010,F,35,WE,10,3.04
202003,일,03,11010,11010,F,35,EW,10,6.07
202003,일,03,11010,11010,F,40,HH,30,9.48
202003,일,03,11010,11010,F,40,EH,20,6.9
202003,일,03,11010,11010,F,40,WW,10,6.84
202003,일,03,11010,11010,F,40,WE,10,6.05
202003,일,03,11010,11010,F,40,WH,10,17.1
202003,일,03,11010,11010,F,40,EE,10,6.86
202003,일,03,11010,11010,F,45,HH,20,6.6
202003,일,03,11010,11010,F,45,EH,10,9.91
202003,일,03,11010,11010,F,45,WH,10,13.06
202003,일,03,11010,11010,F,45,HW,20,3.27
202003,일,03,11010,11010,F,45,EE,10,3.32
202003,일,03,11010,11010,F,50,WW,20,6.11
202003,일,03,11010,11010,F,50,WH,30,46.21
202003,일,03,11010,11010,F,50,WE,10,6.08
202003,일,03,11010,11010,F,50,EE,60,9.39
202003,일,03,11010,11010,F,50,EH,20,9.32
202003,일,03,11010,11010,F,50,HE,10,3.13
202003,일,03,11010,11010,F,50,HH,20,3.07
202003,일,03,11010,11010,F,55,WE,30,3.26
202003,일,03,11010,11010,F,55,WH,20,35.57
202003,일,03,11010,11010,F,55,HW,20,3.3
202003,일,03,11010,11010,F,55,EE,10,13
202003,일,03,11010,11010,F,55,EW,10,6.51
