措惑楷岿,夸老,档馒矫埃,免惯 矫焙备 内靛,档馒 矫焙备 内靛,己喊,唱捞,捞悼蜡屈,乞闭 捞悼 矫埃(盒),捞悼牢备(钦)
202003,老,04,11010,11010,F,15,HE,10,3.96
202003,老,04,11010,11010,F,15,WW,10,3.99
202003,老,04,11010,11010,F,15,EH,10,20.18
202003,老,04,11010,11010,F,15,HH,10,4.05
202003,老,04,11010,11010,F,15,WE,20,4.08
202003,老,04,11010,11010,F,15,EE,10,8.16
202003,老,04,11010,11010,F,15,EW,10,8.16
202003,老,04,11010,11010,F,20,HH,10,14.71
202003,老,04,11010,11010,F,20,EH,10,23.44
202003,老,04,11010,11010,F,20,EE,20,26.33
202003,老,04,11010,11010,F,20,HE,30,*
202003,老,04,11010,11010,F,20,HW,60,4.34
202003,老,04,11010,11010,F,20,WE,30,*
202003,老,04,11010,11010,F,20,WH,10,13.08
202003,老,04,11010,11010,F,20,EW,20,6.57
202003,老,04,11010,11010,F,20,WW,10,10.43
202003,老,04,11010,11010,F,25,EW,10,6.05
202003,老,04,11010,11010,F,25,HH,10,*
202003,老,04,11010,11010,F,25,EH,10,38.82
202003,老,04,11010,11010,F,25,EE,20,40.79
202003,老,04,11010,11010,F,25,WW,10,6.05
202003,老,04,11010,11010,F,25,WE,10,4.12
202003,老,04,11010,11010,F,25,HE,10,*
202003,老,04,11010,11010,F,25,WH,10,22.39
202003,老,04,11010,11010,F,30,WH,10,*
202003,老,04,11010,11010,F,30,WW,30,4.7
202003,老,04,11010,11010,F,30,HE,20,*
202003,老,04,11010,11010,F,30,EH,10,16.67
202003,老,04,11010,11010,F,30,EE,10,43.32
202003,老,04,11010,11010,F,35,WE,40,3.04
202003,老,04,11010,11010,F,35,EE,10,3.04
202003,老,04,11010,11010,F,35,HE,10,15.05
202003,老,04,11010,11010,F,35,WH,30,*
202003,老,04,11010,11010,F,35,HW,20,6.01
202003,老,04,11010,11010,F,35,EW,10,5.96
202003,老,04,11010,11010,F,40,HW,20,3.41
202003,老,04,11010,11010,F,40,EE,40,3.42
202003,老,04,11010,11010,F,40,WH,10,19.75
202003,老,04,11010,11010,F,40,EH,10,3.42
202003,老,04,11010,11010,F,40,HH,10,6.05
